,"OI","CHNG IN OI","VOLUME","IV","LTP","CHNG","BID QTY","BID","ASK","ASK QTY","STRIKE","BID QTY","BID","ASK","ASK QTY","CHNG","LTP","IV","VOLUME","CHNG IN OI","OI",
,"1,343",-645,"7,752",36.43,0.05,-0.35,-,-,0.10,"10,575","26,250.00","1,725","1,314.80","1,715.55","1,725",-,"1,669.55",-,-,-,8,
,"4,881",-235,"11,717",37.44,0.05,-0.30,-,-,0.05,"1,200","26,300.00",225,"1,501.05","1,679.90",150,24.05,"1,659.05",-,3,1,6,
,"1,596",442,"9,463",38.43,0.05,-0.30,-,-,0.05,300,"26,350.00",150,"1,528.05","1,819.05",150,-,"1,840.05",-,-,-,5,
,"2,240","-1,629","11,798",41.51,0.10,-0.25,-,-,0.05,75,"26,400.00","1,725","1,544.25","1,819.10",150,-,"1,832.10",-,-,-,4,
,"1,182",109,"5,513",40.42,0.05,-0.30,-,-,0.05,525,"26,450.00",150,"1,644.25","1,928.20",150,-,"1,856.95",-,-,-,4,
,"19,165","-17,521","1,42,330",41.41,0.05,-0.25,-,-,0.05,"1,93,050","26,500.00",375,"1,866.85","1,870.85",75,10.20,"1,871.00",-,105,-96,28,
,"1,640",-22,"6,751",42.39,0.05,-0.30,-,-,0.05,300,"26,550.00",75,"1,895.00","1,954.90",150,-34.30,"1,870.00",-,-,-,3,
,"2,171",-987,"13,453",43.37,0.05,-0.30,-,-,0.05,"16,875","26,600.00","1,725","1,721.75","2,086.10","1,725",-,"2,098.05",-,-,-,4,
,"1,450",390,"4,887",44.35,0.05,-0.30,-,-,0.05,"16,575","26,650.00",150,"1,842.00","2,137.00","1,725",1.95,"2,022.95",-,-,-,4,
,"2,382","1,025","8,310",47.67,0.10,-0.25,-,-,0.10,"7,425","26,700.00",150,"1,840.00","2,121.20",150,0.45,"2,069.50",-,-,-,4,
,"1,019",404,"5,575",46.29,0.05,-0.25,-,-,0.05,900,"26,750.00",150,"1,927.35","2,245.25","1,725",-1.20,"2,116.45",-,-,-,4,
,"3,061",307,"12,572",47.26,0.05,-0.30,-,-,0.05,"23,175","26,800.00",150,"1,986.25","2,295.05","1,725",-,"2,208.65",-,-,-,4,
,"1,012",7,"4,604",48.22,0.05,-0.25,-,-,0.05,"3,750","26,850.00",150,"2,037.90","2,254.20",150,-3.90,"2,237.55",-,-,-,4,
,"2,486","-1,009","12,513",49.19,0.05,-0.25,-,-,0.05,"3,300","26,900.00",150,"2,081.10","2,311.80",150,-,"2,308.50",-,-,-,4,
,"1,441",629,"5,992",50.14,0.05,-0.25,-,-,0.05,"1,350","26,950.00",150,"2,128.05","2,429.65",150,-15.25,"2,318.35",-,-,-,4,
,"19,309","-5,074","78,971",51.10,0.05,-0.25,-,-,0.05,"3,16,950","27,000.00",75,"2,366.60","2,370.45",75,3.45,"2,365.25",-,96,-38,77,
,"4,956","2,265","19,590",52.05,0.05,-0.25,-,-,0.05,"93,600","27,050.00",150,"2,249.95","2,521.75",150,-3.45,"2,411.90",-,-,-,3,
,"24,762","-9,150","99,801",53.00,0.05,-0.25,-,-,0.05,"2,29,725","27,100.00",75,"2,465.75","2,472.60",150,24.25,"2,458.75",-,26,-,17,
